"samplename","variable","value"
"SRP135559_time.Donor.time.Donor_SAMN08707421_300_0.4_singletype.txt_comselP.csv","SRP135559.OTU38;.;SRP135559.OTU72",0.618744315530934
"SRP135559_time.Donor.time.Donor_SAMN08707421_300_0.4_singletype.txt_comselP.csv","SRP135559.OTU38;.;SRP135559.OTU76",0.817874829336564
"SRP135559_time.Donor.time.Donor_SAMN08707421_300_0.4_singletype.txt_comselP.csv","SRP135559.OTU4;.;SRP135559.OTU181",0.868909671807532
"SRP135559_time.Donor.time.Donor_SAMN08707421_300_0.4_singletype.txt_comselP.csv","SRP135559.OTU4;.;SRP135559.OTU220",-1.49300370035314
"SRP135559_time.Donor.time.Donor_SAMN08707421_300_0.4_singletype.txt_comselP.csv","SRP135559.OTU4;.;SRP135559.OTU297",-1.07151290032651
"SRP135559_time.Donor.time.Donor_SAMN08707421_300_0.4_singletype.txt_comselP.csv","SRP135559.OTU4;.;SRP135559.OTU32",-0.652010575778714
"SRP135559_time.Donor.time.Donor_SAMN08707421_300_0.4_singletype.txt_comselP.csv","SRP135559.OTU4;.;SRP135559.OTU483",0.813373154879157
"SRP135559_time.Donor.time.Donor_SAMN08707421_300_0.4_singletype.txt_comselP.csv","SRP135559.OTU4;.;SRP135559.OTU59",-0.815461938560806
"SRP135559_time.Donor.time.Donor_SAMN08707421_300_0.4_singletype.txt_comselP.csv","SRP135559.OTU4;.;SRP135559.OTU76",-0.682991345259584
"SRP135559_time.Donor.time.Donor_SAMN08707421_300_0.4_singletype.txt_comselP.csv","SRP135559.OTU51;.;SRP135559.OTU181",-0.918493730495968
"SRP135559_time.Donor.time.Donor_SAMN08707421_300_0.4_singletype.txt_comselP.csv","SRP135559.OTU51;.;SRP135559.OTU220",1.57820148960822
"SRP135559_time.Donor.time.Donor_SAMN08707421_300_0.4_singletype.txt_comselP.csv","SRP135559.OTU51;.;SRP135559.OTU297",1.13265844889047
"SRP135559_time.Donor.time.Donor_SAMN08707421_300_0.4_singletype.txt_comselP.csv","SRP135559.OTU51;.;SRP135559.OTU483",-0.859788039596955
"SRP135559_time.Donor.time.Donor_SAMN08707421_300_0.4_singletype.txt_comselP.csv","SRP135559.OTU51;.;SRP135559.OTU59",0.861996019066174
"SRP135559_time.Donor.time.Donor_SAMN08707421_300_0.4_singletype.txt_comselP.csv","SRP135559.OTU51;.;SRP135559.OTU76",0.721966032785615
"SRP135559_time.Donor.time.Donor_SAMN08707421_300_0.4_singletype.txt_comselP.csv","SRP135559.OTU55;.;SRP135559.OTU220",1.13121540531025
"SRP135559_time.Donor.time.Donor_SAMN08707421_300_0.4_singletype.txt_comselP.csv","SRP135559.OTU57;.;SRP135559.OTU297",0.819845536696028
"SRP135559_time.Donor.time.Donor_SAMN08707421_300_0.4_singletype.txt_comselP.csv","SRP135559.OTU59;.;SRP135559.OTU180",0.778690041184145
"SRP135559_time.Donor.time.Donor_SAMN08707421_300_0.4_singletype.txt_comselP.csv","SRP135559.OTU59;.;SRP135559.OTU181",-1.50785992964044
"SRP135559_time.Donor.time.Donor_SAMN08707421_300_0.4_singletype.txt_comselP.csv","SRP135559.OTU59;.;SRP135559.OTU220",2.59087972848121
"SRP135559_time.Donor.time.Donor_SAMN08707421_300_0.4_singletype.txt_comselP.csv","SRP135559.OTU59;.;SRP135559.OTU297",1.85944686647824
"SRP135559_time.Donor.time.Donor_SAMN08707421_300_0.4_singletype.txt_comselP.csv","SRP135559.OTU59;.;SRP135559.OTU362",-1.08201902480173
"SRP135559_time.Donor.time.Donor_SAMN08707421_300_0.4_singletype.txt_comselP.csv","SRP135559.OTU59;.;SRP135559.OTU483",-1.4114847928165
"SRP135559_time.Donor.time.Donor_SAMN08707421_300_0.4_singletype.txt_comselP.csv","SRP135559.OTU59;.;SRP135559.OTU61",-0.874219988326017
"SRP135559_time.Donor.time.Donor_SAMN08707421_300_0.4_singletype.txt_comselP.csv","SRP135559.OTU59;.;SRP135559.OTU72",0.896656185346925
"SRP135559_time.Donor.time.Donor_SAMN08707421_300_0.4_singletype.txt_comselP.csv","SRP135559.OTU59;.;SRP135559.OTU76",1.18522709002169
"SRP135559_time.Donor.time.Donor_SAMN08707421_300_0.4_singletype.txt_comselP.csv","SRP135559.OTU61;.;SRP135559.OTU181",0.931518894044988
"SRP135559_time.Donor.time.Donor_SAMN08707421_300_0.4_singletype.txt_comselP.csv","SRP135559.OTU61;.;SRP135559.OTU220",-1.60058197173122
"SRP135559_time.Donor.time.Donor_SAMN08707421_300_0.4_singletype.txt_comselP.csv","SRP135559.OTU61;.;SRP135559.OTU297",-1.14872068323366
"SRP135559_time.Donor.time.Donor_SAMN08707421_300_0.4_singletype.txt_comselP.csv","SRP135559.OTU72;.;SRP135559.OTU181",-0.955425624289753
"SRP135559_time.Donor.time.Donor_SAMN08707421_300_0.4_singletype.txt_comselP.csv","SRP135559.OTU72;.;SRP135559.OTU220",1.64165970153084
"SRP135559_time.Donor.time.Donor_SAMN08707421_300_0.4_singletype.txt_comselP.csv","SRP135559.OTU72;.;SRP135559.OTU297",1.17820173367312
"SRP135559_time.Donor.time.Donor_SAMN08707421_300_0.4_singletype.txt_comselP.csv","SRP135559.OTU72;.;SRP135559.OTU76",0.750995705999781
"SRP135559_time.Donor.time.Donor_SAMN08707421_300_0.4_singletype.txt_comselP.csv","SRP135559.OTU76;.;SRP135559.OTU181",-1.26291030041907
"SRP135559_time.Donor.time.Donor_SAMN08707421_300_0.4_singletype.txt_comselP.csv","SRP135559.OTU76;.;SRP135559.OTU220",2.16999512482975
"SRP135559_time.Donor.time.Donor_SAMN08707421_300_0.4_singletype.txt_comselP.csv","SRP135559.OTU76;.;SRP135559.OTU297",1.55738245615248
"SRP135559_time.Donor.time.Donor_SAMN08707421_300_0.4_singletype.txt_comselP.csv","SRP135559.OTU76;.;SRP135559.OTU362",-0.906246624643284
"SRP135559_time.Donor.time.Donor_SAMN08707421_300_0.4_singletype.txt_comselP.csv","SRP135559.OTU76;.;SRP135559.OTU483",-1.18219116291385
