"SAMN08707421"	"SAMN08707428"	"SAMN08707431"	"SAMN08707434"	"SAMN08707436"	"SAMN08707439"	"SAMN08707426"
"SRP135559.OTU47"	0.00943155205450287	0.0118165216457192	0.0114772430942926	0.0281223003825744	0.00689783743475019	0.00111800395391642	0.00167209308195149
"SRP135559.OTU51"	0.00702576112412178	0.00722212581703397	0.0379504250606756	0.00897815623843021	0.0116650687120486	0.0255913831890381	0.0164054866902247
"SRP135559.OTU55"	0.00263998296785182	0.0187742218035482	0.014439603385917	0.0269961742564482	0.00934803451581975	0.014439603385917	0.00101587541960072
"SRP135559.OTU57"	0.000191611667021503	0.00582917763787393	0.0169361149056378	0.0116314945082069	7.98977309044424e-05	0.000306769377599018	0.00367229499507837
"SRP135559.OTU59"	0.00110708963167979	0.00664369468752324	0.00867304733435478	0.00367147969887696	0.00322254181314584	0.0287204308405481	0.00867304733435478
"SRP135559.OTU61"	0.0098573557589951	0.00636274242461802	0.0047170929946174	0.00394915463408614	0.00167785234899329	0.00173835980639444	0.000523712172837636
"SRP135559.OTU64"	0.00549286778794976	0.00421428394357817	0.00691391307588518	0.0104436628409231	0.0133961862149781	0.00102256459199673	0.00143863102899977
"SRP135559.OTU71"	0.00436448797104534	0.00141302461637621	0.00556644272651449	0.0118474639022584	0.00790987535953979	0.00229736178335265	0.00489008354155624
"SRP135559.OTU72"	0.000298062593144561	0.000957103034739641	0.000888582379544037	0.000323954091077379	0.000957103034739641	0.00231781307519259	0.00204437040963126
"SRP135559.OTU74"	0.000276772407919949	0.00605700025616236	7.29433296640628e-05	0.0013180283616308	2.66325769681475e-05	0.000156793237439498	0.00130612553948664
"SRP135559.OTU76"	0.000574835001064509	0.00187576951998479	0.00425723796766622	0.0015734912995187	0.00564610631724726	0.0186106755743405	0.00263118043461801
"SRP135559.OTU77"	0.00619544390036194	0.000247899055504599	0.0059299895343913	0.00843823275330124	0.00503355704697986	0.00973481491580885	0.00579869261250348
"SRP135559.OTU78"	0.00598254204811582	0.00651974515977094	0.00482116479876555	0.00482116479876555	0.00516671993182061	0.00161565205535483	0.0036344362837889
"SRP135559.OTU80"	0.00298062593144561	0.00347885007891453	0.00168432779406109	0.0031177908443707	0.00367529562160435	0.00376985479582793	0.0031177908443707
"SRP135559.OTU82"	0.00640834575260805	0.000330532074006131	0.000477447248710229	0.0172158459829693	0.00761691701289017	0.00640981761423677	0.00640981761423677
"SRP135559.OTU85"	0.00187353629976581	0.000140476131452606	0.00302383257516479	0.00334752560779958	0.00218387131138809	0.00395391642238735	0.00262487064940309
"SRP135559.OTU86"	0.00371151949972019	0.0122627399456274	0.00371151949972019	0.000215969394051586	0.0010653030787259	0.00130206558047583	0.000347038186820121
"SRP135559.OTU87"	0.00960187353629977	0.00366064271961791	0.00622462838347681	0.00783660372701469	0.00958772770853308	0.000436294225918604	0.00154589737765327
