"","SAMN08707421","SAMN08707422","SAMN08707423","SAMN08707424","SAMN08707425","SAMN08707426","SAMN08707427","SAMN08707428","SAMN08707429","SAMN08707430","SAMN08707431","SAMN08707432","SAMN08707433","SAMN08707434","SAMN08707435","SAMN08707436","SAMN08707437","SAMN08707438","SAMN08707439","SAMN08707440","SAMN08707441"
"SRP135559.OTU85",0.00180220770443794,0.00294269332281649,0.000247741424017705,0,0.00697261885944114,0.00259988625497634,0,0.000133996484562817,0.00179775280898876,0,0.00296186597556461,0,0,0.00325074152859754,0,0.0020961145194274,0,0.0126535680191675,0.00385356454720617,0,0
"SRP135559.OTU86",0,8.34268725540758e-05,0,0.000308363251910751,0,0.00034373496159543,0.001259244453328,0.0116971048877188,0,0,0,0.00021263281957194,0.0112012947991699,0.000209725259909519,0,0.00102249488752556,0.00480410545325236,0.00530975659975916,0.00126901866985582,0.000112304569993823,0.000164396573244762
"SRP135559.OTU87",0.00923631448524443,0,0.00346012188878062,0,0.00151044136501748,0.00153118301074328,0,0.00349179074478399,0.0119219396806623,0,0,0,0,0.00761003085957396,0,0.00920245398773006,0,0.00533471432760761,0.000425220915553784,0.00425955190476572,0.00144303658737069
"SRP135559.OTU88",0.00106494091625878,4.55055668476777e-05,0,0,0.00108014120870436,0.000768716368658871,0.000299820107935239,0.00104044329189952,0.000709639266706091,0.0152788826650702,0.00614457283527219,0.00582006403285481,4.00618555048996e-05,0.00540791563052401,0,0.000920245398773006,0,0,0.000338847917081921,0.000120326324993382,0
"SRP135559.OTU89",0,0,0,0,0,0,0,0,0,0.0386359722142488,0,0,0,0,0,0,0,0,0,0,0
"SRP135559.OTU90",0,0,0,0,0.00167729244603685,0.00155618191704113,0,0.00921422885023134,0.00861028976936724,0,0.00935975629558903,0,0,0.0157144141175061,0,0,0,0,0,0.00106689341494132,0.000432302100014004
"SRP135559.OTU91",0,9.8595394836635e-05,0,0,0.0043117831989743,0.00112495078340323,0.0023485908454927,0.000740921738170869,0,0.00626573610097349,0.00224088544203901,0.00662199352381184,7.21113399088192e-05,0.0013182730622884,0.00888877119579129,0,0.0017919522517937,0,6.64407680552787e-05,6.41740399964704e-05,0.000237461716909101
"SRP135559.OTU92",0,0,0,0,6.1471450901874e-05,0.000174992344084946,0,0,0,0,0.0210253512344356,0,0,0,0.0119517340606767,0,0,0,0,0,0
"SRP135559.OTU93",0,0,0,0,0,0,0,0.00924575743483436,0.0161797752808989,0,0,0,0,0,0,0.0324130879345603,0,0.0092468381678532,0,0,0
"SRP135559.OTU94",6.14388990149297e-05,0,0,0,0,0,0,0,0,0,1.94859603655566e-05,0,0,0.0681756898463013,0,0,0,0,0,0,0
"SRP135559.OTU95",0.000450551926109484,0,0.000214709234148678,0,0,0.000524977032254839,0.00253847691385169,0,0.00326434062684802,0,0,0,0,0,0.00733522230754972,0.00204498977505112,0.0127249527607918,0.00754971267415814,0,0,0
"SRP135559.OTU96",0.000122877798029859,0.000144100961684313,0,4.40518931301073e-05,0,0,0.000989406356186288,0.00123749694566837,2.36546422235364e-05,0.00076271394946405,0,9.72035746614582e-05,0.0314004823447403,0.000853881415345897,0,5.11247443762781e-05,0,0,0,4.81305299973528e-05,0
"SRP135559.OTU97",0,0,0,0,0.0383230588193969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRP135559.OTU98",0.00221180036453747,0,0,0,0,0,0,0.000362578722934681,0,0,0,0,0,0,0,0.00286298568507157,0,0.0210830405999838,0,0.00292794057483896,0.00183880611555252
"SRP135559.OTU99",0.00479223412316451,0.00113005491005066,0.0165078368870464,0,0,0,0,0.0111690010956183,0.00111176818450621,0,0,0,0,0,0,0.00196830265848671,0,0.00103574570571095,0.000152813766527141,0.000224609139987646,0.000304438098601411
"SRP135559.OTU100",0,0,0,0,0,0,0.0243553867679392,0,0,0,0,0,0,0,0,0,0.000104588652828426,0.00998309113938267,0,0,0
"SRP135559.OTU101",0,0,0,0,0,0,0,0.00218335448375884,0.00373743347131875,0,0,0,0,0.00298109476585673,4.41349115977721e-05,0.00378323108384458,0,0.0201533652376288,0,0,0
"SRP135559.OTU102",0.000450551926109484,0,0,0,0.00028979398282312,0,0,0.00137149343023118,0,0,0.0151730678046468,0,0,0.0204182520897624,0,0.000306748466257669,0,0,0.000172745996943725,0,0
"SRP135559.OTU103",0,0,0,0,0.0175632716862497,0.0110745154899473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRP135559.OTU104",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0250149491728124,0,0
"SRP135559.OTU105",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000766871165644172,0.0248363187583235,0.00107318229748364,0,0,0
"SRP135559.OTU106",0,0,0,0,0,0,0,0,0.00177409816676523,0,0,0,0,0,0,0,0,0,0,0.010781238719407,0.0130603944300005
"SRP135559.OTU107",0,0.00439887146194218,0.000635869654978777,0,0,0,0,0,0,0.00106615928419706,0,4.86017873307291e-05,0,0,0,0,0,0.00976471102070867,0.000465085376386951,0.00386648590978734,0.00375676613674142
