"","SAMN08707421","SAMN08707422","SAMN08707423","SAMN08707424","SAMN08707425","SAMN08707426","SAMN08707427","SAMN08707428","SAMN08707429","SAMN08707430","SAMN08707431","SAMN08707432","SAMN08707433","SAMN08707434","SAMN08707435","SAMN08707436","SAMN08707437","SAMN08707438","SAMN08707439","SAMN08707440","SAMN08707441"
"SRP135559.OTU64",0.00528374531528395,0,0.000388128230961072,0,0.00192317824964434,0.00142493765897742,0.0272636418149111,0.0040198945368845,0.00324068598462448,0,0,0,0,0.010141714354196,0,0.0128578732106339,0.00833920191885315,0.00278278665510292,0.000996611520829181,0.000946567089947939,0.00079153905636367
"SRP135559.OTU65",0,0,0,0.0804717957754234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRP135559.OTU66",0,0,0,0,0.00938756871630047,0.0373921140950083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRP135559.OTU67",0,0,0,0,0.0077014946344205,0,0.011523086148311,0,0,0,0.0200445578960359,0,0,0.0259160499745334,0.000132404734793316,0,0,0,0,0,0
"SRP135559.OTU68",0.010506051731553,0,0,0,0,0,0,0,0.00222353636901242,0,0.00358541670726242,0.0112027119797331,0.000272420617433317,0,0,0.0102249488752556,0.00313765958485277,0.00570908024533446,0.00245830841804531,0.00735594933459542,0.00435955357197221
"SRP135559.OTU69",0.00282618935468676,0.00175196432363559,0.00100748179100533,0,0.00165094753850747,0.000893710900148119,0.0240255846492105,0.0137543450330656,0.00257835600236546,0,0,0,0,0.00304101626868802,0,0,0.00349326100446942,0.00230858982598224,0,0.00237443947986941,0.0012299299183497
"SRP135559.OTU70",0.00718835118474677,0,0,0,0,0.0199803758585562,0,0.00357061220629153,0,0.00355113053890251,0,0,0,0,0.000317771363503959,0.0573108384458078,0,0,0,0,0
"SRP135559.OTU71",0.00419832476602019,0.00384522039862877,0.00113135250301419,0,0.000482989971371867,0.00484353809520833,0,0.00134784699177892,0.00134831460674157,0,0,0,0,0.0115049285436079,0,0.0075920245398773,0,0.00913452839253514,0.00223905388346289,0.00770088479957645,0.0056503711100422
"SRP135559.OTU72",0.000286714862069672,0,0.000123870712008853,0,0.00226566204752621,0.00202491141012581,0.00163901659004597,0,0.000236546422235364,0,0.000870372896328195,0.00670704665164061,0.000120185566514699,0.000314587889864278,0.0065054859695116,0,0.0181984255921461,0.00182191413293734,0.00225898611387948,0.00206159103488661,0.00188751621132875
"SRP135559.OTU73",0,0,0,0,0,0.000112495078340323,0.00127923246052369,0,0.000331164991129509,0.0020995136673419,0.036873932331755,0,0,0.00659136531144201,0,0,0,0,0,0,0
"SRP135559.OTU74",0.000266235229064695,0.000515729757607014,0.00606140684096652,0.000121142706107795,0.000562024693959991,0.00129369340091371,0.00319808115130921,0.00577761312850263,0,0.00350192318732419,7.14485213403743e-05,0.000650048905548501,0.0147267380836011,0,0.00688504620925244,2.55623721881391e-05,0.000599641609549641,0.00481060204279002,0.000152813766527141,0.000248674404986323,0.00171703087611196
"SRP135559.OTU75",0,0,0.000445934563231869,0.0609457941455034,0.00215150078156559,0,0.000169898061163302,0,0,0,0,0.000467792203058267,0.000640989688078393,0,0.000573753850771037,2.55623721881391e-05,0.00122020094966497,0.00160353401426334,0,0,0
"SRP135559.OTU76",0.000552950091134367,0,0,0,0.0183887454555035,0.00260613598155081,0,0.00178924717622114,0,0,0.00416999551822912,0,0,0.00152799832219792,0,0.00541922290388548,0,6.86337515832559e-05,0.0181383296790911,0,0
"SRP135559.OTU77",0.00595957320444818,0.000728089069562843,0.00278296199646556,0,0.00326676853364245,0.00574349872193092,0,0.000236464384522618,0.00643406268480189,0,0,0,0,0.00819426551217904,0.000511964974534156,0.00483128834355828,0,0.000848562746847527,0.0094877416782938,0.00458042210474808,0.00662457302556671
"SRP135559.OTU78",0.00575477687439841,0.00214634590298213,0.0019323831073381,0,0.007666368091048,0.00359984250689032,0.0217769338396962,0.00621901331294485,0.0121348314606742,0,0,0,0,0,0,0.00495910020449898,0,0.000761210699377929,0.00157464620291011,0,0
"SRP135559.OTU79",0.00258043375862705,0,0.034403025748592,0,0,0,0,0.00881223939654289,0.000118273211117682,0,0,0,0,0,0,0,0,0,0,0.00523018425971234,0.000919403057776262
"SRP135559.OTU80",0.00286714862069672,0.012043806692352,0.000850578889127455,0,0,0,0.00874475314811113,0.0033183835294674,0.00615020697811946,0,0.00164981131095046,0,0,0,0.000918006161233659,0.00352760736196319,0,0.00131652014400609,0.00367417447345691,0.00431570418976264,0.00526677910580442
"SRP135559.OTU81",0.000389113027094554,0.00255589600461123,0.0115364923117578,0,0.0186434128949541,0.00317486109982688,0,0,0,0,0,0,0,0.00573748389609611,0.00134170131257227,0.00053680981595092,0.00302609835516912,0.000567788308552389,0,0.00239048298986852,0.00122384115637767
"SRP135559.OTU82",0.00616436953449794,0.00611291447987137,0.0113878474573472,0,0.00166851081019372,0,0,0.000315285846030157,0.0150680070963927,0,0.000467663048773359,0.00134869959842773,0,0.0167180992899302,0,0.00731083844580777,0.00299820804774821,0.000536591148741819,0,0.000786131989956763,0.000724562674671359
"SRP135559.OTU83",0,0.00505111792009222,0.00182502849026376,0,0.0177564676747985,0.015449324092071,0,0,0.000544056771141336,0,0,0,0,0,0,0,0,0,0,0,0
"SRP135559.OTU84",0,0,0,0.0583577454241096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
